# ASTM G173-03 Reference Spectra Derived from SMARTS v. 2.9.2
# Wvlgth nm	Direct+circumsolar W*m-2*nm-1
916.0	5.4099E-01
917.0	6.8350E-01
918.0	5.5612E-01
919.0	6.9161E-01
920.0	6.9657E-01
921.0	7.3004E-01
922.0	6.5584E-01
923.0	6.9698E-01
924.0	6.7571E-01
925.0	6.6621E-01
926.0	6.5875E-01
927.0	7.3684E-01
928.0	5.5363E-01
929.0	5.1792E-01
930.0	4.0679E-01
931.0	3.8540E-01
932.0	2.8386E-01
933.0	2.3459E-01
934.0	1.3604E-01
935.0	2.3690E-01
936.0	1.5267E-01
937.0	1.5453E-01
938.0	1.8962E-01
939.0	3.7591E-01
940.0	4.4411E-01
941.0	3.5071E-01
942.0	3.8192E-01
943.0	2.6289E-01
944.0	2.6987E-01
945.0	3.4729E-01
946.0	1.8409E-01
947.0	3.5010E-01
948.0	2.5911E-01
949.0	4.6514E-01
950.0	1.3944E-01
951.0	4.5563E-01
952.0	2.5418E-01
953.0	3.2442E-01
954.0	3.9988E-01
955.0	3.2204E-01
956.0	3.0996E-01
957.0	2.5591E-01
958.0	4.3453E-01
959.0	3.5294E-01
960.0	3.9685E-01
961.0	4.3481E-01
962.0	4.1664E-01
963.0	4.7585E-01
964.0	4.3242E-01
965.0	4.7469E-01
966.0	4.7377E-01
967.0	4.7353E-01
968.0	6.1301E-01
969.0	6.4480E-01
970.0	5.9689E-01
971.0	6.7059E-01
972.0	6.4629E-01
973.0	5.7081E-01
974.0	5.4170E-01
975.0	5.5536E-01
976.0	5.3872E-01
977.0	6.0084E-01
978.0	5.7903E-01
979.0	6.0046E-01
980.0	5.6941E-01
981.0	6.7058E-01
982.0	6.5102E-01
983.0	6.2915E-01
984.0	6.9290E-01
985.0	6.4734E-01
986.0	7.0553E-01
987.0	6.9489E-01
988.0	6.9059E-01
989.0	7.0391E-01
990.0	6.8843E-01
991.0	7.0833E-01
992.0	7.0597E-01
993.0	6.9325E-01
994.0	7.0891E-01
995.0	7.0673E-01
996.0	7.0409E-01
997.0	6.9555E-01
998.0	6.9481E-01
999.0	6.9455E-01
1000.0	6.9159E-01
1001.0	7.0013E-01
1002.0	6.8498E-01
1003.0	6.9086E-01
1004.0	6.8056E-01
1005.0	6.4140E-01
1006.0	6.7047E-01
1007.0	6.8463E-01
1008.0	6.8407E-01
1009.0	6.7742E-01
1010.0	6.7695E-01
1011.0	6.8034E-01
1012.0	6.7667E-01
1013.0	6.7556E-01
1014.0	6.7848E-01
1015.0	6.6676E-01
1016.0	6.6976E-01
1017.0	6.6237E-01
1018.0	6.7263E-01
1019.0	6.4880E-01
1020.0	6.5839E-01
1021.0	6.6107E-01
1022.0	6.4980E-01
1023.0	6.5490E-01
1024.0	6.5077E-01
1025.0	6.5727E-01
1026.0	6.5625E-01
1027.0	6.5318E-01
1028.0	6.5398E-01
1029.0	6.4687E-01
1030.0	6.5092E-01
1031.0	6.4799E-01
1032.0	6.4852E-01
1033.0	6.3751E-01
1034.0	6.4136E-01
1035.0	6.4348E-01
1036.0	6.4323E-01
1037.0	6.3664E-01
1038.0	6.3361E-01
1039.0	6.3802E-01
1040.0	6.3366E-01
1041.0	6.3379E-01
1042.0	6.3406E-01
1043.0	6.2773E-01
1044.0	6.3067E-01
1045.0	6.2712E-01
1046.0	6.1078E-01
1047.0	6.2008E-01
1048.0	6.2559E-01
1049.0	6.2206E-01
1050.0	6.1802E-01
1051.0	6.1862E-01
1052.0	6.1487E-01
1053.0	6.1302E-01
1054.0	6.1048E-01
1055.0	6.1242E-01
1056.0	6.1055E-01
1057.0	6.0910E-01
1058.0	6.0286E-01
1059.0	5.8453E-01
1060.0	6.0073E-01
1061.0	5.8694E-01
1062.0	5.9782E-01
1063.0	5.8815E-01
1064.0	5.9722E-01
1065.0	5.9461E-01
1066.0	5.8330E-01
1067.0	5.8637E-01
1068.0	5.8561E-01
1069.0	5.5428E-01
1070.0	5.7178E-01
1071.0	5.8304E-01
1072.0	5.8194E-01
1073.0	5.7086E-01
1074.0	5.8780E-01
1075.0	5.6054E-01
1076.0	5.8141E-01
1077.0	5.7175E-01
1078.0	5.7076E-01
1079.0	5.7210E-01
1080.0	5.6519E-01
1081.0	5.4973E-01
1082.0	5.5773E-01
1083.0	5.6603E-01
1084.0	5.4775E-01
1085.0	5.6163E-01
1086.0	5.2496E-01
1087.0	5.3685E-01
1088.0	5.6159E-01
1089.0	5.4856E-01
1090.0	5.2656E-01
1091.0	5.5722E-01
1092.0	5.5048E-01
1093.0	4.8417E-01
1094.0	5.1120E-01
1095.0	4.9363E-01
1096.0	4.7731E-01
1097.0	5.4805E-01
1098.0	4.7709E-01
1099.0	4.8161E-01
1100.0	4.6113E-01
1101.0	4.7169E-01
1102.0	4.4513E-01
1103.0	4.4291E-01
1104.0	4.4412E-01
1105.0	4.8065E-01
1106.0	3.7840E-01
1107.0	4.5866E-01
1108.0	3.9517E-01
1109.0	3.9249E-01
1110.0	4.5496E-01
1111.0	3.1572E-01
1112.0	3.9330E-01
1113.0	2.5599E-01
1114.0	2.8576E-01
1115.0	2.3833E-01
1116.0	1.9223E-01
1117.0	7.6164E-02
1118.0	2.0763E-01
1119.0	1.0821E-01
1120.0	1.3562E-01
1121.0	1.7753E-01
1122.0	7.8159E-02
1123.0	1.2255E-01
1124.0	1.0397E-01
1125.0	1.3794E-01
1126.0	4.9394E-02
1127.0	1.5032E-01
1128.0	9.4946E-02
1129.0	1.0133E-01
1130.0	6.7568E-02
1131.0	2.8201E-01
1132.0	2.2359E-01
1133.0	1.4661E-01
1134.0	3.9988E-02
1135.0	1.4819E-02
1136.0	1.2320E-01
1137.0	2.7472E-01
1138.0	1.9428E-01
1139.0	2.8484E-01
1140.0	2.4447E-01
1141.0	1.8486E-01
1142.0	2.1481E-01
1143.0	2.9758E-01
1144.0	1.0843E-01
1145.0	1.3976E-01
1146.0	1.5085E-01
1147.0	5.6715E-02
1148.0	2.5898E-01
1149.0	2.0894E-01
1150.0	1.1648E-01
1151.0	1.9453E-01
1152.0	2.3666E-01
1153.0	2.2762E-01
1154.0	1.3643E-01
1155.0	2.9903E-01
1156.0	2.6837E-01
1157.0	3.0040E-01
1158.0	2.9770E-01
1159.0	3.2163E-01
1160.0	2.7371E-01
1161.0	3.3167E-01
1162.0	3.3412E-01
1163.0	4.4644E-01
1164.0	3.8332E-01
1165.0	3.7080E-01
1166.0	3.5781E-01
1167.0	3.9105E-01
1168.0	4.0018E-01
1169.0	4.0348E-01
1170.0	4.3731E-01
1171.0	4.2750E-01
1172.0	4.3370E-01
1173.0	4.3522E-01
1174.0	3.2193E-01
1175.0	4.3142E-01
1176.0	4.5447E-01
1177.0	4.5040E-01
1178.0	3.4391E-01
1179.0	4.6114E-01
1180.0	4.2052E-01
1181.0	4.3423E-01
1182.0	3.0903E-01
1183.0	4.1853E-01
1184.0	4.0083E-01
1185.0	3.8908E-01
1186.0	4.5518E-01
1187.0	4.3494E-01
1188.0	3.2039E-01
1189.0	3.9685E-01
1190.0	4.4124E-01
1191.0	4.2638E-01
1192.0	4.5171E-01
1193.0	4.3370E-01
1194.0	4.4751E-01
1195.0	4.2671E-01
1196.0	4.1188E-01
1197.0	4.5527E-01
1198.0	4.1426E-01
1199.0	3.4869E-01
1200.0	4.2789E-01
1201.0	4.1735E-01
1202.0	4.1743E-01
1203.0	4.1441E-01
1204.0	3.4645E-01
1205.0	4.1714E-01
1206.0	4.5872E-01
1207.0	4.1044E-01
1208.0	4.1379E-01
1209.0	3.9548E-01
1210.0	4.3267E-01
1211.0	4.0319E-01
1212.0	4.0572E-01
1213.0	4.4804E-01
1214.0	4.1443E-01
1215.0	4.0851E-01
1216.0	4.4509E-01
1217.0	4.3457E-01
1218.0	4.3842E-01
1219.0	4.2639E-01
1220.0	4.3724E-01
1221.0	4.4413E-01
1222.0	4.3096E-01
1223.0	4.2400E-01
1224.0	4.2788E-01
1225.0	4.4141E-01
1226.0	4.4696E-01
1227.0	4.1360E-01
1228.0	4.4544E-01
1229.0	4.4608E-01
1230.0	4.3928E-01
1231.0	4.5067E-01
1232.0	4.4525E-01
1233.0	4.3359E-01
1234.0	4.4893E-01
1235.0	4.4409E-01
1236.0	4.4795E-01
1237.0	4.4259E-01
1238.0	4.4694E-01
1239.0	4.4194E-01
1240.0	4.4011E-01
1241.0	4.4130E-01
1242.0	4.4179E-01
1243.0	4.3712E-01
1244.0	4.3499E-01
1245.0	4.3622E-01
1246.0	4.3902E-01
1247.0	4.3715E-01
1248.0	4.3828E-01
1249.0	4.3930E-01
1250.0	4.3684E-01
1251.0	4.3260E-01
1252.0	4.3106E-01
1253.0	4.2803E-01
1254.0	4.2416E-01
1255.0	4.3088E-01
1256.0	4.2096E-01
1257.0	4.1630E-01
1258.0	4.2549E-01
1259.0	4.0868E-01
1260.0	4.1235E-01
1261.0	3.9371E-01
1262.0	3.7867E-01
1263.0	3.8300E-01
1264.0	3.5568E-01
1265.0	3.7871E-01
1266.0	3.6881E-01
1267.0	3.7159E-01
1268.0	3.5475E-01
1269.0	2.3656E-01
1270.0	3.7087E-01
1271.0	3.9062E-01
1272.0	3.9114E-01
1273.0	3.8874E-01
1274.0	3.8864E-01
1275.0	3.9455E-01
1276.0	3.9895E-01
1277.0	4.0191E-01
1278.0	4.0916E-01
1279.0	4.0626E-01
1280.0	4.0387E-01
1281.0	3.9554E-01
1282.0	3.5695E-01
1283.0	3.8978E-01
1284.0	4.0268E-01
1285.0	4.0577E-01
1286.0	4.0878E-01
1287.0	4.0405E-01
1288.0	4.0192E-01
1289.0	3.9194E-01
1290.0	3.9522E-01
